"Story","Title","Result","Date","Stability","Duration (s)"
"As admin i want to create account So that i can login and see home page","POST - As a admin I success to create account with valid data","SUCCESS","2022-07-03T08:12:12.157+07:00[Asia/Bangkok]","0.0","7.96"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with empty data","SUCCESS","2022-07-03T08:12:20.145+07:00[Asia/Bangkok]","0.0","0.81"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with empty email","SUCCESS","2022-07-03T08:12:20.969+07:00[Asia/Bangkok]","0.0","0.7"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with not use @ in email","SUCCESS","2022-07-03T08:12:21.699+07:00[Asia/Bangkok]","0.0","0.71"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with not use domain email","SUCCESS","2022-07-03T08:12:22.419+07:00[Asia/Bangkok]","0.0","1.75"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with registered email","SUCCESS","2022-07-03T08:12:24.186+07:00[Asia/Bangkok]","0.0","0.93"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with empty username","SUCCESS","2022-07-03T08:12:25.14+07:00[Asia/Bangkok]","0.0","0.72"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with registered username","SUCCESS","2022-07-03T08:12:25.875+07:00[Asia/Bangkok]","0.0","0.86"
"As admin i want to create account So that i can login and see home page","POST - As a admin I success to create account with fill number on username field","SUCCESS","2022-07-03T08:12:26.755+07:00[Asia/Bangkok]","0.0","1.02"
"As admin i want to create account So that i can login and see home page","POST - As a admin I success to create account with fill letter only on username field","SUCCESS","2022-07-03T08:12:27.795+07:00[Asia/Bangkok]","0.0","0.9"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with empty password","SUCCESS","2022-07-03T08:12:28.708+07:00[Asia/Bangkok]","0.0","0.79"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with invalid password","SUCCESS","2022-07-03T08:12:29.513+07:00[Asia/Bangkok]","0.0","0.71"
"As admin i want to create account So that i can login and see home page","POST - As a admin I success to create account with fill password with number only","SUCCESS","2022-07-03T08:12:30.233+07:00[Asia/Bangkok]","0.0","0.94"
"As admin i want to create account So that i can login and see home page","POST - As a admin i success to create account with fill password with letter only","SUCCESS","2022-07-03T08:12:31.201+07:00[Asia/Bangkok]","0.0","0.94"
"As admin i want to create account So that i can login and see home page","POST - As a admin i success to create account with fill password with combination char","SUCCESS","2022-07-03T08:12:32.152+07:00[Asia/Bangkok]","0.0","0.91"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with maks random char","SUCCESS","2022-07-03T08:12:33.072+07:00[Asia/Bangkok]","0.0","0.84"
"As admin i want to create account So that i can login and see home page","POST - As a admin I failed to create account with invalid endpoint","SUCCESS","2022-07-03T08:12:33.924+07:00[Asia/Bangkok]","0.0","0.84"
